0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,13,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,13,0,-1,-1,-1,-1,-1,-1,-1,11,0,-1,-1,-1,13,-1,-1,-1,13,-1,-1,-1,0
0,-1,-1,-1,13,-1,-1,-1,0,-1,-1,13,-1,-1,0,12,12,12,12,12,12,12,-1,0,-1,-1,13,-1,-1,13,-1,-1,13,-1,-1,0
0,-1,13,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,13,0,-1,12,12,12,12,12,12,12,0,-1,13,-1,0,0,0,0,-1,-1,13,-1,0
0,-1,0,0,36,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,13,0
0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,12,12,12,12,12,12,12,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,13,0,0,0,-1,13,0,0,0,-1,-1,0
0,0,0,0,-1,0,-1,-1,0,-1,-1,0,13,-1,0,-1,12,12,12,12,12,12,12,0,-1,-1,-1,-1,-1,-1,0,70,-1,-1,-1,0
0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,0,0,0,-1,0,-1,75,0,0,0
0,-1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,12,-1,-1,-1,13,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,12,-1,13,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,13,0,0,0,75,-1,0
0,0,0,0,-1,12,-1,-1,13,-1,60,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0,13,-1,-1,-1,13,0,-1,-1,0,-1,-1,-1,-1,20,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,0,-1,-1,13,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,0,13,0,-1,75,0,0,0
0,-1,0,0,36,0,-1,13,-1,-1,13,0,-1,-1,0,-1,-1,10,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
